idno,netustm,ppltrst,vote,prtvtddk,lvpntyr,tygrtr,gndr,yrbrn,edlvddk,eduyrs,wkhct,wkhtot,grspnum,frlgrsp,inwtm
89693,180,8,Yes,Socialdemokratiet - The Social democrats,1976,50,Male,1955,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,37,50,500000,Not applicable,58
89767,270,7,Yes,Dansk Folkeparti - Danish People's Party,1979,58,Male,1958,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",20,37,42,40000,Not applicable,52
89838,30,Most people can be trusted,Yes,Enhedslisten - Unity List - The Red-Green Alliance,1968,30,Female,1953,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",17,37,37,Not applicable,Not applicable,70
89919,120,8,Yes,Socialdemokratiet - The Social democrats,2011,65,Female,1990,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",19,37,37,26000,28000,77
89953,600,7,Yes,Liberal Alliance - Liberal Alliance,2010,62,Male,1991,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",16,37,45,40000,Not applicable,60
89965,120,8,Not eligible to vote,Not applicable,2017,65,Male,2000,Folkeskole 9.-10. klasse,9,37,37,Not applicable,Not applicable,52
90116,Not applicable,7,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",2015,65,Female,1995,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",14,16,17,16000,15000,43
90136,480,8,Not eligible to vote,Not applicable,"Still in parental home, never left 2 months",65,Male,1997,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",13,20,20,No answer,No answer,49
90255,60,8,Yes,Socialdemokratiet - The Social democrats,2003,50,Male,1980,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",16,40,45,30000,Not applicable,58
90262,300,8,Yes,SF Socialistisk Folkeparti - Socialist People's Party,2014,60,Female,1995,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",15,37,45,Not applicable,Not applicable,45
90287,540,6,Yes,Dansk Folkeparti - Danish People's Party,Refusal,45,Female,1974,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",11,37,38,37000,Not applicable,56
90402,420,8,Not eligible to vote,Not applicable,"Still in parental home, never left 2 months",30,Female,2003,Folkeskole 9.-10. klasse,9,Not applicable,Not applicable,Not applicable,Not applicable,42
90439,30,9,No,Not applicable,2001,30,Female,1984,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",16,37,37,24000,25000,70
90536,450,7,Not eligible to vote,Not applicable,"Still in parental home, never left 2 months",55,Male,2000,Folkeskole 9.-10. klasse,11,1,1,No answer,No answer,48
