"idno","ppltrst","happy","cgtsday","alcfreq","height","weight","gndr","yrbrn"
"97",922763,"5","7",NA,"Once a week",187,110,"Male",1967
"98",922771,"8","8",NA,"Never",165,63,"Female",1990
"99",922789,"7","8",NA,"Once a month",178,102,"Male",1949
"100",922802,"9","9",NA,"Less than once a month",164,64,"Female",1990
"101",922852,"2","8",NA,"2-3 times a month",188,92,"Male",1986
"102",922860,"8","8",NA,"2-3 times a month",159,64,"Female",1993
"103",922886,"6","5",NA,"Never",160,74,"Female",1932
"104",922894,"8","Extremely happy",NA,"Several times a week",168,60,"Female",1964
"105",922925,"9","8",15,"Once a week",186,66,"Male",1986
"106",922933,"9","9",NA,"Less than once a month",160,98,"Female",1965
"107",922941,"7","2",NA,"Less than once a month",185,99,"Male",1991
"108",922959,"8","9",1,"Once a month",185,84,"Male",1998
"109",922967,"8","7",NA,"Once a week",185,125,"Male",1977
"110",922975,"8","8",NA,"Every day",178,63,"Male",1967
"111",922983,"6","7",15,"Once a week",160,54,"Female",1947
"112",922991,"8","9",NA,"2-3 times a month",166,60,"Female",1934
"113",923052,"8","Extremely happy",NA,"2-3 times a month",157,62,"Female",1931
"114",923060,"8","9",NA,"Several times a week",174,76,"Male",1940
"115",923094,"5","8",NA,"2-3 times a month",165,58,"Female",1986
"116",923109,"8","9",NA,"Less than once a month",158,101,"Female",1946
"117",923125,"5","8",0,"2-3 times a month",178,91,"Male",1987
"118",923133,"9","8",3,"Once a week",172,65,"Female",1958
"119",923141,"7","9",NA,"Several times a week",186,75,"Female",1970
"120",923159,"8","2",15,"Several times a week",164,51.4,"Female",1946
"121",923167,"3","5",20,"Less than once a month",184,120,"Male",1971
"122",923183,"5","9",10,"Once a month",170,58,"Female",1966
"123",923191,"8","Extremely happy",NA,"2-3 times a month",170,60,"Female",1953
"124",923214,"9","9",NA,"Once a month",180,63,"Male",1998
"125",923256,"7","9",NA,"2-3 times a month",176,80,"Female",1958
"126",923264,"6","Extremely happy",NA,"Several times a week",173,89,"Male",1943
"127",923272,"8","8",20,"Once a week",190,81,"Male",1992
"128",923280,"9","9",20,"Once a week",182,105,"Male",1983
"129",923329,"8","8",NA,"Less than once a month",162,74,"Female",1969
"130",923353,"7","Extremely happy",NA,"Several times a week",178,100.9,"Male",1963
"131",923361,"7","9",NA,"Never",176,95,"Male",1984
"132",923379,"8","8",NA,"2-3 times a month",166,60,"Female",1967
"133",923395,"8","8",NA,"Several times a week",176,70,"Female",1979
"134",923400,"8","Extremely happy",NA,"Several times a week",180,70,"Male",1946
"135",923418,"7","7",NA,"Less than once a month",168,52,"Female",1963
"136",923426,"8","8",20,"Once a week",184,84,"Male",1991
"137",923434,"5","9",11,"Less than once a month",164,60,"Female",1968
"138",923476,"7","Extremely happy",NA,"Once a month",168,58,"Female",1995
"139",923492,"5","9",NA,"Once a week",166,60,"Female",1953
"140",923523,"5","9",NA,"Every day",172,59,"Female",1945
"141",923531,"9","Extremely happy",NA,"Several times a week",167,67,"Female",1956
"142",923557,"9","9",NA,"Once a week",182,76,"Male",1984
"143",923573,"7","9",NA,"2-3 times a month",155,61,"Female",1987
"144",923604,"5","8",5,"Less than once a month",189,78,"Male",1989
"145",923612,"9","7",2,"Once a month",170,62,"Male",1981
"146",923620,"8","Extremely happy",NA,"Several times a week",180,93,"Male",1984
"147",923646,"You can't be too careful","Extremely happy",8,"Less than once a month",NA,NA,"Female",1948
"148",923662,"6","8",NA,"2-3 times a month",163,62,"Female",1976
"149",923670,"6","9",NA,"Once a month",176,72,"Male",1979
"150",923688,"5","7",10,"2-3 times a month",164,63,"Female",1990
"151",923701,"5","9",NA,"Once a week",173,59,"Female",1980
"152",923719,"7","9",NA,"Once a week",178,85,"Male",1975
"153",923727,"7","9",3,"2-3 times a month",160,54,"Female",1940
"154",923743,"9","8",2,"Once a week",183,80,"Male",1988
"155",923769,"5","8",NA,"Several times a week",170,66,"Male",1951
"156",923777,"6","9",NA,"2-3 times a month",160,55,"Female",1975
"157",923785,"9","8",NA,"2-3 times a month",155,60,"Female",1960
"158",923793,"8","Extremely happy",NA,"Once a week",179,80,"Male",1950
"159",923808,"9","5",20,"Every day",172,76,"Male",1955
"160",923816,"7","9",NA,"2-3 times a month",165,70,"Female",1999
"161",923824,"9","8",NA,"Once a week",170,65,"Female",1964
"162",923832,"8","8",10,"Several times a week",173,60,"Male",1994
