"idno","ppltrst","happy","cgtsday","alcfreq","height","weight","gndr","yrbrn"
"419",928913,"8","Extremely happy",NA,"Every day",163,71,"Female",1936
"420",928947,"5","Extremely happy",20,"Every day",167,75,"Male",1950
"421",928955,"9","Extremely happy",NA,"Once a month",176,66,"Male",1944
"422",928971,"8","Extremely happy",NA,"Once a week",168,54,"Female",1946
"423",928997,"5","8",25,"Several times a week",175,67,"Female",1988
"424",929032,"7","8",NA,"Once a week",164,63,"Female",1951
"425",929040,"4","9",15,"Once a week",182,76,"Male",1993
"426",929082,"8","Extremely happy",NA,"Several times a week",187,120,"Male",1963
"427",929090,"8","9",NA,"Once a month",184,89,"Male",1965
"428",929105,"5","7",NA,"2-3 times a month",158,68,"Female",1981
"429",929121,"6","Extremely happy",NA,"Every day",164,73,"Male",1941
"430",929139,"7","9",NA,"Once a month",186,107,"Male",1955
"431",929147,"7","9",NA,"Less than once a month",173,83,"Male",1938
"432",929163,"5","7",10,"Once a week",167,56,"Female",1941
"433",929171,"You can't be too careful","Extremely happy",NA,"2-3 times a month",173,88,"Male",1937
"434",929189,"8","Extremely happy",NA,"Less than once a month",178,86,"Male",1963
"435",929197,"9","Extremely happy",10,"Several times a week",182,90,"Male",1962
"436",929202,"Most people can be trusted","Extremely happy",NA,"Once a week",167,52,"Female",1994
"437",929210,"7","Extremely happy",NA,"Several times a week",180,110,"Male",1949
"438",929228,"9","9",NA,"Several times a week",182,102,"Male",1938
"439",929294,"7","8",NA,"Never",178,67,"Female",1970
"440",929309,"9","9",NA,"Every day",167,76,"Female",1950
"441",929325,"8","Extremely happy",NA,"Less than once a month",162,76,"Female",1970
"442",929359,"3","8",NA,"Several times a week",182,88,"Male",1945
"443",929367,"9","8",NA,"Several times a week",170,74,"Female",1962
"444",929391,"8","9",NA,"Several times a week",163,97,"Female",1951
"445",929406,"7","Extremely happy",NA,"Once a week",168,75,"Male",1945
"446",929414,"7","8",20,"Several times a week",171,60,"Female",1997
"447",929448,"Most people can be trusted","1",NA,"Less than once a month",172,NA,"Male",1926
"448",929456,"8","8",NA,"Less than once a month",170,70,"Female",1998
"449",929464,"7","7",NA,"2-3 times a month",165,86,"Female",1982
"450",929472,"5","8",20,"Never",163,53,"Female",1958
"451",929480,"7","Extremely happy",NA,"2-3 times a month",169,66,"Female",1958
"452",929529,"9","8",15,"Several times a week",164,77,"Female",1969
"453",929537,"6","9",0,"Several times a week",174,64,"Male",1942
"454",929545,"8","7",NA,"Once a week",188,66,"Male",1985
"455",929561,"8","9",NA,"2-3 times a month",187,82,"Male",1997
"456",929587,"8","7",NA,"Once a week",163,78,"Female",1958
"457",929600,"8","9",20,"Every day",174,82,"Male",1943
"458",929626,"7","7",NA,"Once a month",193,72,"Male",1987
"459",929642,"8","8",NA,"2-3 times a month",184,71,"Female",1998
"460",929668,"5","7",NA,"2-3 times a month",178,NA,"Female",1970
"461",929676,"9","8",NA,"Every day",180,72,"Male",1939
"462",929684,"8","8",17,"Every day",185,72,"Male",1931
"463",929692,"5","7",15,"2-3 times a month",193,83,"Male",1986
"464",929707,"5","8",NA,"Less than once a month",180,96,"Male",1947
"465",929749,"9","8",NA,"2-3 times a month",170,85,"Male",1969
"466",929757,"4","8",20,"Less than once a month",168,80,"Male",1969
"467",929781,"6","8",NA,"Less than once a month",162,87,"Female",1938
"468",929799,"7","8",NA,"Every day",197,110,"Male",1953
"469",929854,"7","8",10,"Once a week",176,71,"Male",1992
"470",929862,"9","9",NA,"Several times a week",175,82,"Male",1952
"471",929870,"9","Extremely happy",NA,"Less than once a month",163,69,"Female",1947
"472",929919,"6","Extremely happy",NA,"Several times a week",173,66,"Female",1940
"473",929951,"8","9",NA,"Once a week",177,66,"Female",1976
"474",929977,"4","8",15,"2-3 times a month",175,75,"Male",1985
"475",929985,"7","8",0,"Several times a week",172,76,"Female",1969
"476",929993,"8","Extremely happy",NA,"Once a month",184,73,"Male",1997
"477",930023,"5","5",NA,"Every day",185,67,"Male",1946
"478",930049,"7","9",NA,"Once a month",175,64,"Female",1997
"479",930057,"8","Extremely happy",NA,"Several times a week",173,58,"Female",1968
"480",930104,"5","9",20,"Several times a week",181,85,"Male",1946
"481",930112,"8","9",NA,"Once a week",194,71,"Male",1963
"482",930154,"4","7",6,"Once a month",182,81,"Male",1988
"483",930170,"7","Extremely happy",9,"Less than once a month",195,120,"Male",1982
"484",930196,"7","7",NA,"2-3 times a month",175,56,"Male",1941
"485",930219,"8","Extremely happy",NA,"Once a week",179,83,"Male",1962
"486",930227,"7","8",0,"2-3 times a month",170,73,"Female",1973
"487",930285,"4","6",NA,"Several times a week",177,76,"Male",1977
"488",930293,"You can't be too careful","4",10,"Every day",160,42,"Female",1945
"489",930316,"4","1",10,"Every day",174,75,"Male",1947
"490",930324,"5","7",NA,"Every day",168,85,"Male",1941
"491",930332,"8","9",NA,"Once a week",178,89,"Male",1985
"492",930374,"9","9",NA,"Several times a week",158,61,"Female",1964
"493",930382,"4","6",NA,"Never",175,90,"Female",1983
"494",930413,"5","6",NA,"Several times a week",164,53,"Female",1973
"495",930439,"7","8",1,"Once a week",182,75,"Male",1980
"496",930497,"7","8",NA,"2-3 times a month",175,76,"Female",1987
"497",930510,"8","8",NA,"Every day",190,103,"Male",1960
"498",930528,"5","8",NA,"Several times a week",178,72,"Male",1978
"499",930578,"7","9",NA,"Once a month",166,71,"Female",1952
"500",930594,"7","Extremely happy",NA,"2-3 times a month",176,114,"Female",1965
"501",930625,"7","8",NA,"Once a week",161,68,"Female",1986
"502",930633,"3","8",NA,"Less than once a month",160,60,"Female",1979
"503",930659,"8","7",4,"Less than once a month",176,80,"Female",1969
"504",930667,"5","Extremely happy",NA,"Once a week",170,70,"Male",1932
"505",930714,"8","9",NA,"Less than once a month",169,66,"Female",1977
"506",930730,"Most people can be trusted","9",NA,"Several times a week",160,84,"Female",1974
"507",930772,"6","7",3,"2-3 times a month",168,40,"Female",1957
"508",930780,"7","9",NA,"Once a week",204,112,"Male",1983
"509",930811,"8","Extremely happy",NA,"Several times a week",175,95,"Male",1937
"510",930829,"7","9",NA,"Once a week",185,116,"Male",1958
"511",930845,"7","9",NA,"Once a month",174,96,"Male",1976
"512",930853,"5","8",NA,"2-3 times a month",168,69,"Female",1947
"513",930879,"7","9",NA,"Several times a week",182,82,"Male",1965
"514",930887,"8","8",NA,"2-3 times a month",192,84,"Male",1979
"515",930926,"8","Extremely happy",NA,"Several times a week",174,83,"Male",1948
"516",930942,"8","Extremely happy",NA,"Several times a week",163,55,"Female",1950
"517",930968,"8","8",NA,"Once a week",168,60,"Female",1964
"518",930976,"5","Extremely happy",NA,"Less than once a month",163,56,"Female",1995
"519",930984,"6","Extremely happy",NA,"Once a week",163,69,"Female",1973
"520",930992,"9","9",NA,"Several times a week",177,84,"Male",1975
"521",931003,"8","7",NA,"Once a week",168,74,"Male",1980
"522",931011,"6","6",NA,"Never",184,78,"Male",1978
"523",931029,"5","7",15,"Less than once a month",190,84,"Male",1959
"524",931037,"9","5",10,"2-3 times a month",180,86,"Male",1961
"525",931087,"9","9",NA,"Once a week",165,71,"Female",1989
"526",931095,"2","6",NA,"2-3 times a month",167,86,"Female",1949
"527",931118,"8","7",4,"Several times a week",177,63,"Female",1967
"528",931126,"8","Extremely happy",NA,"Less than once a month",162,81,"Female",1961
"529",931134,"7","6",NA,"Never",159,75,"Female",1936
"530",931142,"8","9",NA,"Once a month",168,65,"Female",1939
"531",931150,"8","9",NA,"Once a week",187,86,"Male",1985
"532",931192,"9","Extremely happy",NA,"Several times a week",162,64,"Female",1953
"533",931207,"6","7",NA,"Once a month",180,79,"Male",1989
"534",931249,"3","8",NA,"Several times a week",176,66,"Male",1975
"535",931281,"5","7",NA,"2-3 times a month",186,83,"Male",1988
"536",931299,"7","6",15,"Once a month",183,88,"Male",1991
"537",931304,"8","9",NA,"2-3 times a month",163,54,"Female",1970
"538",931320,"7","8",20,"Once a week",185,81,"Male",1974
"539",931338,"8","8",NA,"Several times a week",175,53,"Female",1965
"540",931354,"6","8",0,"Once a week",165,54,"Male",1998
"541",931370,"7","7",NA,"Several times a week",162,84,"Female",1939
"542",931396,"5","8",NA,"Several times a week",167,50,"Female",1930
"543",931419,"7","Extremely happy",4,"Every day",175,72,"Male",1951
"544",931435,"8","9",NA,"Once a week",181,70,"Male",1976
"545",931443,"5","Extremely happy",NA,"Several times a week",185,66,"Male",1990
"546",931469,"Most people can be trusted","9",NA,"Less than once a month",168,75,"Female",1953
"547",931493,"5","6",20,"Less than once a month",167,98,"Male",1946
"548",931540,"8","9",NA,"2-3 times a month",164,56,"Female",1971
"549",931566,"Most people can be trusted","9",9,"Every day",160,47,"Female",1946
"550",931574,"7","Extremely happy",NA,"Once a week",166,67,"Male",1938
"551",931605,"1","",NA,"",NA,NA,"Male",1936
"552",931621,"8","Extremely happy",NA,"2-3 times a month",162,86,"Female",1938
"553",931639,"Most people can be trusted","8",NA,"Once a week",178,67,"Female",1966
"554",931647,"7","8",10,"2-3 times a month",170,70,"Female",1987
"555",931663,"8","8",NA,"Less than once a month",184,80,"Male",1965
"556",931689,"9","9",15,"Once a month",186,85,"Male",1972
"557",931697,"8","9",NA,"2-3 times a month",150,52,"Female",1946
"558",931728,"5","3",1,"Never",179,56,"Male",1983
"559",931736,"9","Extremely happy",NA,"Once a week",175,80,"Female",1965
"560",931744,"7","7",10,"Every day",172,57,"Female",1953
"561",931794,"5","Extremely happy",NA,"",NA,NA,"Male",1990
"562",931817,"5","Extremely happy",NA,"Several times a week",167,65,"Female",1945
"563",931825,"7","9",NA,"Once a month",173,74,"Male",1994
"564",931833,"8","9",NA,"Once a week",184,70,"Female",1993
"565",931841,"7","7",10,"Several times a week",187,85,"Male",1992
"566",931867,"5","9",5,"Once a month",168,58,"Female",1994
"567",931906,"5","Extremely happy",0,"Never",179,62,"Male",1938
"568",931930,"5","Extremely happy",NA,"Several times a week",162,65,"Female",1949
"569",931948,"7","8",NA,"Several times a week",176,72,"Male",1949
"570",931964,"8","Extremely happy",NA,"Less than once a month",165,60,"Female",1984
"571",932025,"1","8",NA,"Several times a week",170,80,"Female",1944
"572",932033,"5","9",NA,"2-3 times a month",157,78,"Female",1968
"573",932041,"7","9",NA,"2-3 times a month",179,84,"Male",1954
"574",932059,"4","5",7,"2-3 times a month",160,61,"Female",1983
"575",932067,"5","6",NA,"Never",188,137,"Male",1966
"576",932083,"7","Extremely happy",NA,"Every day",160,44,"Female",1934
"577",932091,"6","9",NA,"Several times a week",178,82,"Male",1985
"578",932106,"8","9",NA,"Less than once a month",170,NA,"Female",1975
"579",932130,"2","9",NA,"Several times a week",178,77,"Male",1971
"580",932148,"8","9",NA,"Several times a week",167,51,"Female",1944
"581",932156,"3","2",NA,"Never",173,74,"Female",1969
"582",932180,"8","7",NA,"Once a month",187,70,"Male",1989
"583",932229,"8","Extremely happy",20,"Less than once a month",187,75,"Male",1993
"584",932237,"8","8",NA,"Several times a week",176,82,"Male",1946
"585",932245,"9","8",NA,"Every day",174,76,"Male",1956
"586",932253,"8","7",NA,"Several times a week",170,57,"Female",1971
"587",932261,"7","Extremely happy",NA,"2-3 times a month",180,85,"Male",1996
"588",932287,"9","9",NA,"Less than once a month",167,48,"Female",1993
"589",932318,"You can't be too careful","9",NA,"2-3 times a month",180,77,"Male",1965
"590",932368,"9","9",NA,"Several times a week",160,75,"Female",1972
"591",932407,"3","9",NA,"2-3 times a month",184,66,"Male",1998
"592",932481,"5","8",12,"Several times a week",180,75,"Male",1985
"593",932499,"5","Extremely happy",NA,"2-3 times a month",166,108,"Female",1953
"594",932504,"8","8",0,"2-3 times a month",172,67,"Male",1976
"595",932512,"8","7",NA,"2-3 times a month",172,75,"Female",1958
"596",932520,"5","8",NA,"Every day",160,72,"Female",1957
"597",932538,"7","9",NA,"Once a week",175,69,"Female",1949
"598",932546,"7","8",10,"Several times a week",186,66,"Male",1955
"599",932562,"8","Extremely happy",NA,"Several times a week",167,78,"Female",1955
"600",932570,"8","Extremely happy",NA,"Several times a week",160,56,"Female",1949
"601",932588,"4","9",NA,"Once a month",179,78,"Male",1989
"602",932596,"9","Extremely happy",NA,"Every day",158,48,"Female",1960
"603",932601,"7","8",20,"Once a week",183,86,"Male",1948
"604",932643,"8","Extremely happy",20,"Less than once a month",177,80,"Male",1991
"605",932651,"1","8",NA,"2-3 times a month",187,79,"Male",1997
"606",932669,"8","9",NA,"Several times a week",182,85,"Female",1986
"607",932677,"Most people can be trusted","9",NA,"Never",185,80,"Male",1953
"608",932685,"3","3",NA,"",165,55,"Female",1925
"609",932708,"9","9",NA,"Several times a week",178,92,"Male",1951
"610",932716,"3","8",NA,"Several times a week",166,71,"Female",1940
"611",932724,"5","9",NA,"Once a week",167,66,"Female",1951
"612",932732,"7","8",NA,"2-3 times a month",174,88,"Female",1968
"613",932758,"9","8",NA,"Once a week",165,51,"Female",1926
"614",932766,"8","3",2,"Once a month",188,70,"Male",1987
"615",932774,"8","7",NA,"Several times a week",155,77,"Female",1960
"616",932855,"3","9",NA,"Less than once a month",160,50,"Female",1999
"617",932871,"2","5",2,"Several times a week",175,68,"Male",1942
"618",932889,"9","8",NA,"2-3 times a month",175,NA,"Female",1968
"619",932897,"You can't be too careful","7",10,"Several times a week",187,110,"Male",1993
"620",932902,"8","9",NA,"Once a week",173,63,"Male",1931
"621",932910,"8","8",NA,"Several times a week",180,66,"Female",1956
"622",932928,"6","8",NA,"Every day",185,94,"Male",1950
"623",932978,"5","7",NA,"Less than once a month",163,62,"Female",1971
"624",933005,"7","Extremely happy",NA,"Once a week",167,75,"Female",1956
"625",933013,"8","8",NA,"Less than once a month",191,97,"Male",1972
"626",933021,"9","8",NA,"Once a week",160,57,"Female",1948
"627",933039,"8","8",NA,"Once a month",172,72,"Male",1965
"628",933071,"8","Extremely happy",NA,"Once a month",200,120,"Male",1980
"629",933097,"8","8",NA,"Once a week",172,77,"Male",1972
"630",933110,"3","9",20,"2-3 times a month",193,94,"Male",1988
"631",933128,"8","8",20,"Once a week",174,71,"Male",1949
"632",933144,"8","9",NA,"2-3 times a month",190,72,"Male",1993
"633",933160,"8","8",NA,"Every day",184,86,"Male",1960
"634",933178,"9","7",20,"Several times a week",187,93,"Male",1951
"635",933186,"5","8",NA,"Never",162,58,"Female",1968
"636",933209,"9","Extremely happy",NA,"Every day",182,75,"Male",1992
"637",933233,"8","9",NA,"Once a week",182,70,"Male",1994
"638",933259,"9","8",NA,"Once a week",172,75,"Male",1955
"639",933275,"8","8",NA,"2-3 times a month",171,72,"Female",1938
"640",933291,"Most people can be trusted","Extremely happy",NA,"Never",161,53,"Male",1953
"641",933322,"8","7",NA,"Less than once a month",180,74,"Male",1965
"642",933348,"7","9",NA,"Once a week",173,80,"Male",1995
"643",933372,"7","9",NA,"Once a week",178,88,"Male",1971
"644",933398,"7","8",15,"Never",169,70,"Male",1985
"645",933403,"8","Extremely happy",10,"2-3 times a month",158,52,"Female",1967
"646",933429,"8","9",NA,"2-3 times a month",166,65,"Female",1953
"647",933445,"8","7",NA,"Once a week",183,85,"Male",1989
"648",933461,"8","8",NA,"Never",161,58,"Female",1944
"649",933487,"5","8",NA,"Several times a week",167,80,"Female",1929
"650",933518,"5","7",20,"Once a month",169,80,"Female",1985
"651",933542,"You can't be too careful","",NA,"",NA,NA,"Female",1978
"652",933607,"3","9",NA,"Never",174,72,"Female",1958
"653",933623,"4","Extremely happy",NA,"2-3 times a month",183,77,"Female",1958
"654",933649,"8","8",5,"Once a week",164,57,"Female",1945
"655",933657,"8","6",NA,"Several times a week",173,108,"Female",1969
"656",933673,"1","Extremely happy",12,"Once a week",162,48,"Female",1922
"657",933704,"9","9",NA,"Several times a week",167,62,"Female",1959
"658",933712,"9","8",NA,"Several times a week",187,86,"Male",1965
"659",933738,"8","9",NA,"Several times a week",165,66,"Female",1963
"660",933835,"7","9",30,"Once a week",176,85,"Male",1973
"661",933869,"7","8",10,"Once a month",176,65,"Male",1990
"662",933893,"9","8",NA,"Once a week",182,70,"Male",1990
"663",933908,"3","8",NA,"Several times a week",184,108,"Male",1961
"664",933916,"8","8",20,"Every day",165,57,"Male",1965
"665",933924,"Most people can be trusted","9",10,"Less than once a month",174,80,"Female",1974
"666",933940,"8","9",NA,"2-3 times a month",185,75,"Male",1945
"667",933974,"4","8",NA,"Less than once a month",168,81,"Female",1998
"668",933990,"9","9",NA,"Less than once a month",155,77.5,"Female",1942
"669",934001,"8","Extremely happy",NA,"2-3 times a month",184,82,"Male",1979
"670",934035,"8","9",NA,"Every day",180,89,"Male",1941
"671",934069,"8","8",NA,"Several times a week",157,92,"Female",1987
"672",934077,"3","8",NA,"Less than once a month",173,72,"Female",1962
"673",934093,"4","8",10,"Never",162,60,"Female",1996
"674",934108,"6","6",NA,"Once a week",180,81,"Male",1971
"675",934124,"8","9",NA,"Once a month",160,70,"Female",1947
"676",934158,"6","8",12,"2-3 times a month",187,86,"Male",1966
"677",934190,"7","8",NA,"Less than once a month",169,75,"Female",1990
"678",934247,"9","Extremely happy",20,"Never",162,90,"Female",1954
"679",934255,"8","7",NA,"Once a week",170,80,"Male",1931
"680",934263,"8","9",NA,"Every day",181,96,"Male",1967
"681",934289,"9","Extremely happy",NA,"Every day",178,61,"Female",1948
"682",934302,"8","7",NA,"Less than once a month",180,85,"Female",1977
"683",934344,"You can't be too careful","Extremely happy",20,"Every day",180,80,"Male",1960
"684",934352,"9","9",NA,"2-3 times a month",182,70,"Male",1985
"685",934360,"2","5",NA,"Less than once a month",160,75,"Female",1930
"686",934386,"6","9",7,"Every day",165,59,"Female",1964
"687",934433,"8","8",4,"Several times a week",170,76,"Male",1953
"688",934467,"8","8",NA,"2-3 times a month",179,72,"Female",1973
"689",934475,"8","8",NA,"Several times a week",178,84,"Male",1985
"690",934483,"8","7",NA,"Once a month",160,57,"Female",1940
"691",934491,"9","8",NA,"Several times a week",160,60,"Female",1967
"692",934522,"8","9",NA,"Every day",182,98,"Male",1944
"693",934548,"9","9",NA,"2-3 times a month",168,88.2,"Female",1971
"694",934556,"6","8",1,"Once a month",167,63,"Male",1990
"695",934564,"5","8",10,"Never",164,52,"Male",1962
"696",934611,"8","Extremely happy",4,"Several times a week",166,88,"Male",1970
"697",934629,"4","Extremely happy",NA,"2-3 times a month",178,94,"Male",1968
"698",934637,"8","Extremely happy",NA,"Every day",182,77,"Male",1944
"699",934645,"8","6",8,"Once a month",169,65,"Female",1948
"700",934653,"8","7",NA,"Once a month",163,57,"Female",1977
"701",934661,"5","9",NA,"Several times a week",183,83,"Male",1985
"702",934695,"7","9",NA,"Once a week",162,62,"Female",1919
"703",934700,"5","Extremely happy",NA,"Several times a week",182,66,"Male",1945
"704",934726,"4","Extremely happy",NA,"Never",160,77,"Female",1947
"705",934750,"5","9",NA,"Less than once a month",170,69,"Male",1942
"706",934784,"5","8",5,"Every day",174,90,"Male",1985
"707",934807,"7","6",NA,"Several times a week",188,112,"Male",1975
"708",934831,"7","Extremely happy",NA,"Several times a week",177,85,"Male",1951
"709",934865,"1","7",NA,"Never",168,56,"Female",1986
"710",934873,"8","7",NA,"Never",170,75,"Male",1973
"711",934881,"Most people can be trusted","9",NA,"Several times a week",166,76,"Female",1951
"712",934904,"9","Extremely happy",NA,"Every day",165,77,"Male",1923
"713",934912,"5","8",0,"2-3 times a month",180,88,"Male",1963
"714",934938,"8","9",NA,"Several times a week",166,75,"Female",1964
"715",934954,"Most people can be trusted","7",NA,"Several times a week",170,68,"Female",1965
"716",934962,"6","7",NA,"2-3 times a month",169,58,"Female",1976
"717",934970,"8","9",15,"Several times a week",176,77,"Female",1954
"718",934988,"7","8",5,"Never",176,68,"Female",1969
"719",934996,"8","Extremely happy",NA,"2-3 times a month",153,55,"Male",1993
"720",935007,"9","8",15,"2-3 times a month",180,78,"Male",1953
"721",935057,"8","8",20,"Less than once a month",173,73,"Male",1969
"722",935099,"8","8",NA,"Every day",164,68,"Female",1926
"723",935104,"5","Extremely happy",NA,"Every day",172,84,"Female",1960
"724",935112,"3","6",NA,"Several times a week",178,81,"Male",1958
"725",935138,"3","8",NA,"Several times a week",176,80,"Male",1956
"726",935170,"3","Extremely happy",30,"Never",189,87,"Male",1976
"727",935235,"5","9",NA,"Less than once a month",164,67,"Female",1981
"728",935251,"6","7",NA,"Once a week",190,93,"Male",1991
"729",935269,"3","6",8,"Every day",164,52,"Female",1936
"730",935285,"8","Extremely happy",NA,"Every day",180,70,"Male",1923
"731",935316,"7","Extremely happy",NA,"Several times a week",172,63,"Male",1978
"732",935332,"8","8",NA,"Once a month",175,61,"Female",1992
"733",935340,"7","9",NA,"Once a week",193,72,"Male",1997
"734",935382,"5","8",15,"Never",160,63,"Female",1955
"735",935405,"9","9",NA,"2-3 times a month",163,66,"Female",1938
"736",935439,"8","9",NA,"Once a month",159,80,"Female",1923
"737",935463,"4","9",NA,"Less than once a month",165,NA,"Female",1985
"738",935489,"9","6",NA,"Several times a week",173,70,"Male",1988
"739",935502,"9","8",20,"Several times a week",179,82,"Male",1971
"740",935536,"7","9",NA,"Once a month",182,92,"Male",1976
"741",935560,"5","8",NA,"Never",173,90,"Female",1981
"742",935586,"4","4",10,"2-3 times a month",175,63,"Male",1961
"743",935594,"4","8",NA,"2-3 times a month",187,79,"Male",1997
"744",935609,"8","8",NA,"Less than once a month",170,66,"Male",1978
"745",935633,"8","9",NA,"Several times a week",163,63,"Female",1962
"746",935641,"8","9",NA,"Several times a week",186,88,"Male",1958
"747",935659,"Most people can be trusted","9",NA,"Never",165,80,"Female",1979
"748",935667,"9","7",20,"Once a week",184,80,"Male",1966
"749",935706,"8","9",NA,"Once a week",170,82.5,"Male",1965
"750",935714,"7","8",NA,"Once a month",180,60,"Male",1997
"751",935764,"5","8",NA,"Less than once a month",156,54,"Female",1980
"752",935780,"5","9",NA,"Once a week",169,70,"Female",1975
"753",935811,"5","9",8,"2-3 times a month",174,69,"Female",1974
"754",935829,"8","9",NA,"2-3 times a month",175,60,"Female",1980
"755",935845,"7","Extremely happy",NA,"Less than once a month",167,92,"Female",1980
"756",935853,"8","8",NA,"2-3 times a month",173,95,"Male",1945
"757",935879,"7","8",NA,"Several times a week",173,69,"Male",1984
"758",935887,"7","9",1,"Less than once a month",173,68,"Female",1969
"759",935895,"7","9",NA,"Several times a week",168,90,"Female",1969
"760",935934,"7","5",2,"Several times a week",188,74,"Male",1994
"761",935950,"8","8",NA,"Once a week",162,74,"Female",1949
"762",935968,"9","Extremely happy",NA,"Several times a week",185,90,"Male",1955
"763",935976,"7","8",0,"Never",165,67,"Female",1926
"764",935984,"8","7",20,"Several times a week",183,81,"Male",1972
"765",936003,"3","9",NA,"Once a week",175,95,"Male",1947
"766",936011,"7","9",NA,"Several times a week",162,69,"Female",1942
"767",936037,"8","3",NA,"Never",187,84,"Male",1968
"768",936053,"8","9",3,"Several times a week",183,94,"Male",1979
"769",936079,"5","7",NA,"2-3 times a month",172,85,"Female",1962
"770",936087,"8","7",NA,"Several times a week",177,61,"Female",1973
"771",936095,"7","8",NA,"2-3 times a month",188,66,"Male",1978
"772",936100,"8","Extremely happy",NA,"Less than once a month",160,62,"Female",1983
"773",936118,"Most people can be trusted","9",NA,"Several times a week",170,82,"Female",1971
"774",936134,"7","9",NA,"Less than once a month",160,55,"Female",1998
"775",936150,"8","9",NA,"Several times a week",182,73,"Male",1955
"776",936184,"9","9",NA,"Several times a week",183,83,"Male",1968
"777",936207,"8","8",NA,"Once a month",168,63,"Female",1984
"778",936249,"4","3",NA,"Less than once a month",189,107,"Male",1964
"779",936265,"7","8",NA,"Less than once a month",179,80,"Male",1965
"780",936273,"7","7",NA,"Several times a week",176,70,"Female",1966
"781",936281,"7","7",NA,"Several times a week",NA,NA,"Male",1992
"782",936299,"8","9",8,"Several times a week",172,73,"Female",1965
"783",936312,"3","Extremely happy",NA,"Several times a week",162,64,"Female",1951
"784",936320,"6","Extremely happy",20,"Less than once a month",175,74,"Male",1983
"785",936346,"6","9",NA,"Once a month",186,80,"Male",1993
"786",936362,"8","9",NA,"Every day",174,72,"Male",1945
"787",936370,"8","Extremely happy",NA,"Several times a week",167,72,"Female",1950
"788",936396,"8","8",10,"Once a week",168,78,"Female",1963
"789",936427,"8","Extremely happy",NA,"2-3 times a month",164,61,"Female",1948
"790",936435,"8","Extremely happy",NA,"Never",163,75,"Female",1945
"791",936443,"7","8",7,"Several times a week",173,72,"Female",1991
"792",936485,"7","7",NA,"Once a week",184,98,"Male",1963
"793",936516,"8","9",NA,"Several times a week",172,66,"Female",1961
"794",936540,"6","Extremely happy",NA,"Several times a week",182,88,"Male",1959
"795",936558,"8","3",40,"Every day",180,63,"Male",1977
"796",936566,"9","9",NA,"Once a week",164,62,"Female",1975
"797",936574,"9","8",NA,"Once a week",162,64,"Female",1965
"798",936590,"7","9",25,"Every day",179,85,"Male",1954
"799",936621,"8","9",15,"Several times a week",163,70,"Female",1968
"800",936655,"5","Extremely happy",NA,"Less than once a month",170,68,"Female",1997
"801",936663,"7","7",2,"Once a week",180,92,"Male",1977
"802",936697,"8","8",NA,"Several times a week",172,80,"Male",1950
"803",936702,"8","9",NA,"Every day",165,53,"Female",1958
"804",936710,"9","Extremely happy",NA,"Once a month",172,60,"Female",1954
"805",936728,"8","9",NA,"Once a week",183,91,"Male",1969
"806",936736,"8","8",NA,"Every day",172,63,"Female",1941
"807",936744,"5","Extremely happy",12,"Several times a week",163,58,"Male",1988
"808",936752,"5","9",20,"Never",168,65,"Female",1960
"809",936760,"8","7",NA,"2-3 times a month",168,57,"Female",1989
"810",936778,"7","6",15,"Several times a week",174,82,"Male",1960
"811",936794,"5","8",NA,"2-3 times a month",185,83,"Male",1947
"812",936825,"7","Extremely happy",NA,"Once a week",179,70,"Male",1999
"813",936859,"5","8",NA,"Every day",183,106,"Male",1946
"814",936883,"5","8",NA,"2-3 times a month",163,64,"Female",1945
"815",936906,"6","8",10,"Every day",178,77,"Male",1953
"816",936922,"8","9",NA,"Several times a week",166,61,"Female",1949
"817",936948,"4","Extremely happy",NA,"Less than once a month",186,125,"Male",1982
"818",936956,"7","8",NA,"Once a month",179,90,"Male",1941
"819",936964,"8","9",0,"Several times a week",178,88,"Male",1947
"820",936980,"7","8",NA,"Once a month",170,80,"Male",1967
"821",936998,"7","7",NA,"Never",176,70,"Male",1976
"822",937009,"7","9",NA,"Once a week",173,96,"Male",1964
"823",937017,"8","9",NA,"Every day",164,78,"Female",1950
"824",937041,"2","9",2,"Once a week",160,71,"Female",1981
"825",937059,"4","8",19,"Never",184,64,"Male",1990
"826",937083,"4","9",NA,"Several times a week",185,80,"Male",1972
"827",937106,"7","8",17,"Less than once a month",168,68,"Male",1994
"828",937114,"8","8",NA,"Once a month",172,61,"Female",1981
"829",937148,"5","8",NA,"Once a week",169,120,"Female",1959
"830",937172,"8","9",2,"Several times a week",168,60,"Female",1982
"831",937180,"8","8",NA,"Several times a week",170,82,"Female",1971
"832",937198,"4","Extremely happy",10,"Less than once a month",164,60,"Female",1993
"833",937245,"8","9",NA,"2-3 times a month",165,65,"Female",1963
"834",937253,"8","9",NA,"Several times a week",173,90,"Female",1950
"835",937261,"You can't be too careful","9",NA,"Less than once a month",180,75,"Female",1981
"836",937318,"8","9",NA,"Never",164,59,"Female",1959
"837",937342,"5","5",4,"Several times a week",175,83,"Male",1943
"838",937368,"4","Extremely happy",NA,"Every day",162,104,"Male",1948
"839",937376,"7","9",NA,"Several times a week",178,78,"Male",1945
"840",937384,"8","8",NA,"2-3 times a month",183,89,"Male",1975
"841",937392,"7","9",NA,"Several times a week",170,80,"Male",1955
"842",937415,"8","9",NA,"Once a week",194,79,"Male",1995
"843",937423,"8","8",NA,"Less than once a month",180,76,"Female",1964
